Esquema,acc_train,acc_test,recall_test,f1_test,auc_test
DE_best_2,0.9323580531042902,0.9322047198156413,0.9611503863074263,0.9538873375169598,0.9594880576648809
Standard_Otsu,0.9317319211452734,0.9315224176657624,0.9599816148307033,0.9533946193972392,0.9593518461922279
DE_rand_1,0.9309160538653195,0.9308401155158835,0.9590470353914509,0.9529099381342725,0.959768522675508
DE_best_1,0.9304796824268842,0.9304985268807794,0.9592812274289217,0.9526963306670998,0.9586702386455521
DE_rand_2,0.9303468299027617,0.9301548962982411,0.9588106546433496,0.9524567431490997,0.9600463472631635
