Esquema,acc_train,acc_test,recall_test,f1_test,auc_test
DE_rand_1,0.932068311195446,0.9266211604095563,0.9742388758782201,0.9508571428571428,0.9517917900225354
DE_rand_1,0.930550284629981,0.9334470989761092,0.9695550351288056,0.9550173010380623,0.9584935118495279
DE_rand_1,0.9332068311195446,0.909556313993174,0.9484777517564403,0.9385863267670915,0.9372836669465188
DE_rand_1,0.9314990512333966,0.9249146757679181,0.9415887850467289,0.9482352941176471,0.9543061634922513
DE_rand_1,0.9275142314990512,0.9573378839590444,0.969626168224299,0.9707602339181286,0.9807908434875192
DE_rand_1,0.930360531309298,0.9334470989761092,0.9579439252336449,0.9545983701979045,0.9614633857801962
DE_rand_1,0.9305634604439386,0.9401709401709402,0.9648711943793911,0.959254947613504,0.9733940058696232
DE_rand_1,0.9296148738379814,0.9452991452991453,0.9742388758782201,0.9629629629629629,0.9648119052559808
DE_rand_1,0.93208119901347,0.9179487179487179,0.9484777517564403,0.9440559440559441,0.956170515518928
DE_rand_1,0.9317017643710871,0.9196581196581196,0.9414519906323185,0.9447708578143361,0.9591794385320013
DE_rand_1,0.9316888045540797,0.9232081911262798,0.9531615925058547,0.9476135040745053,0.9647680909666682
DE_rand_1,0.9341555977229602,0.9061433447098977,0.9180327868852459,0.9344457687723481,0.9585082409084884
DE_rand_1,0.9294117647058824,0.947098976109215,0.9718969555035128,0.9639953542392566,0.9692604539495971
DE_rand_1,0.9314990512333966,0.9300341296928327,0.9742990654205608,0.9531428571428572,0.9433189400212942
DE_rand_1,0.9314990512333966,0.9300341296928327,0.9626168224299065,0.9526011560693641,0.9526055838163965
DE_rand_1,0.930360531309298,0.931740614334471,0.9579439252336449,0.9534883720930233,0.9739737371347451
DE_rand_1,0.9311326124075128,0.9282051282051282,0.9648711943793911,0.9515011547344111,0.948522218598998
DE_rand_1,0.9305634604439386,0.9384615384615385,0.9648711943793911,0.958139534883721,0.966383067026354
DE_rand_1,0.9313223297287042,0.9333333333333333,0.9672131147540983,0.9549132947976878,0.9548068656804909
DE_rand_1,0.9299943084803642,0.9401709401709402,0.9578454332552693,0.958968347010551,0.9661459105327128
DE_rand_1,0.9311195445920304,0.9266211604095563,0.955503512880562,0.9499417927823051,0.9628975004786945
DE_rand_1,0.9316888045540797,0.9249146757679181,0.9601873536299765,0.9490740740740741,0.9552089317013537
DE_rand_1,0.9307400379506642,0.9351535836177475,0.9578454332552693,0.955607476635514,0.9646208003770639
DE_rand_1,0.930360531309298,0.9419795221843004,0.9579439252336449,0.9601873536299765,0.9661362829764581
DE_rand_1,0.9324478178368122,0.9163822525597269,0.9532710280373832,0.9433526011560693,0.9451673961907014
DE_rand_1,0.9307400379506642,0.9266211604095563,0.9509345794392523,0.9498249708284714,0.962069679403762
DE_rand_1,0.9311326124075128,0.9333333333333333,0.9672131147540983,0.9549132947976878,0.9565410725402425
DE_rand_1,0.9311326124075128,0.9282051282051282,0.9484777517564403,0.9507042253521126,0.961610292591824
DE_rand_1,0.9318914816922785,0.9367521367521368,0.9695550351288056,0.9572254335260115,0.9603800432810602
DE_rand_1,0.9315120470498957,0.9264957264957265,0.9601873536299765,0.9501738122827347,0.9631073429579344
DE_best_1,0.9328273244781784,0.9266211604095563,0.9695550351288056,0.9506314580941446,0.9506134653057016
DE_best_1,0.9297912713472486,0.9334470989761092,0.9672131147540983,0.9549132947976878,0.9573741033685358
DE_best_1,0.932258064516129,0.9112627986348123,0.9508196721311475,0.9398148148148148,0.9333951953809672
DE_best_1,0.9311195445920304,0.9249146757679181,0.9415887850467289,0.9482352941176471,0.9536998698686857
DE_best_1,0.9280834914611006,0.9539249146757679,0.9719626168224299,0.9685681024447031,0.978661421980362
DE_best_1,0.9299810246679316,0.9334470989761092,0.955607476635514,0.9544924154025671,0.9617295634685911
DE_best_1,0.9301840258015557,0.9384615384615385,0.9672131147540983,0.9582366589327146,0.9717931995375448
DE_best_1,0.9286662872320243,0.9401709401709402,0.9718969555035128,0.9595375722543352,0.966946313698752
DE_best_1,0.9311326124075128,0.9179487179487179,0.9484777517564403,0.9440559440559441,0.9525390567100465
DE_best_1,0.93075317776513,0.9247863247863248,0.9484777517564403,0.9484777517564403,0.9599501971363353
DE_best_1,0.9328273244781784,0.9197952218430034,0.9484777517564403,0.9451575262543758,0.9640758251955283
DE_best_1,0.932258064516129,0.9078498293515358,0.927400468384075,0.9361702127659575,0.9587880930287362
DE_best_1,0.92865275142315,0.9436860068259386,0.9648711943793911,0.9614935822637106,0.9692162667727158
DE_best_1,0.930360531309298,0.9351535836177475,0.9766355140186916,0.9565217391304348,0.9420915651248077
DE_best_1,0.9299810246679316,0.9283276450511946,0.9626168224299065,0.9515011547344111,0.9503282858156866
DE_best_1,0.9307400379506642,0.9266211604095563,0.9532710280373832,0.9499417927823051,0.9734413817579558
DE_best_1,0.93075317776513,0.9282051282051282,0.9625292740046838,0.9513888888888888,0.9479886164883052
DE_best_1,0.92942515651679,0.9418803418803419,0.9672131147540983,0.9604651162790697,0.9655974861411674
DE_best_1,0.9298045911591728,0.9282051282051282,0.9625292740046838,0.9513888888888888,0.9513829188035455
DE_best_1,0.9296148738379814,0.9384615384615385,0.9601873536299765,0.9579439252336449,0.9661459105327128
DE_best_1,0.9307400379506642,0.9283276450511946,0.955503512880562,0.951048951048951,0.9613067621109688
DE_best_1,0.9313092979127134,0.9232081911262798,0.9601873536299765,0.9479768786127167,0.9549732667579869
DE_best_1,0.9301707779886148,0.9266211604095563,0.9531615925058547,0.9498249708284714,0.963339372247507
DE_best_1,0.9292220113851992,0.9436860068259386,0.9626168224299065,0.9614935822637106,0.9644504909499586
DE_best_1,0.9330170777988614,0.9163822525597269,0.9509345794392523,0.9432213209733488,0.9426830710990182
DE_best_1,0.930360531309298,0.9249146757679181,0.9462616822429907,0.9484777517564403,0.9609606057021176
DE_best_1,0.9313223297287042,0.9333333333333333,0.9718969555035128,0.9551208285385501,0.9556962025316456
DE_best_1,0.9292354391955986,0.9333333333333333,0.9531615925058547,0.9542790152403282,0.9587940592298342
DE_best_1,0.9292354391955986,0.9418803418803419,0.9742388758782201,0.9607390300230947,0.9613434915364776
DE_best_1,0.9313223297287042,0.9282051282051282,0.9601873536299765,0.951276102088167,0.9623810511961581
DE_rand_2,0.9307400379506642,0.9232081911262798,0.9695550351288056,0.9484536082474226,0.9513646473126831
DE_rand_2,0.930360531309298,0.9351535836177475,0.9718969555035128,0.956221198156682,0.9586408024391322
DE_rand_2,0.932258064516129,0.9129692832764505,0.9508196721311475,0.9409038238702202,0.9380937651893421
DE_rand_2,0.9311195445920304,0.9283276450511946,0.9462616822429907,0.9507042253521126,0.9546019164793564
DE_rand_2,0.927134724857685,0.9590443686006825,0.9742990654205608,0.972027972027972,0.9813231988643084
DE_rand_2,0.9297912713472486,0.9351535836177475,0.9579439252336449,0.9557109557109557,0.9627646989234593
DE_rand_2,0.9305634604439386,0.9333333333333333,0.9601873536299765,0.9545983701979045,0.9714374647970829
DE_rand_2,0.9290457218744071,0.9418803418803419,0.9695550351288056,0.9605568445475638,0.966560934396585
DE_rand_2,0.93208119901347,0.9128205128205128,0.9437939110070258,0.94049008168028,0.9543918418166187
DE_rand_2,0.9303737431227471,0.9196581196581196,0.9437939110070258,0.9449003516998827,0.9612842024130673
DE_rand_2,0.930550284629981,0.9232081911262798,0.955503512880562,0.9477351916376306,0.9637370568394386
DE_rand_2,0.9337760910815939,0.9078498293515358,0.9250585480093677,0.9360189573459715,0.9602609989247788
DE_rand_2,0.9296015180265654,0.947098976109215,0.9695550351288056,0.9639115250291036,0.9697317838363307
DE_rand_2,0.9311195445920304,0.9300341296928327,0.9742990654205608,0.9531428571428572,0.9442949248787413
DE_rand_2,0.9307400379506642,0.9283276450511946,0.9626168224299065,0.9515011547344111,0.952975275050278
DE_rand_2,0.9299810246679316,0.9283276450511946,0.9509345794392523,0.9509345794392523,0.9753194132260735
DE_rand_2,0.9303737431227471,0.9264957264957265,0.9601873536299765,0.9501738122827347,0.9480627278925681
DE_rand_2,0.9301840258015557,0.9333333333333333,0.9601873536299765,0.9545983701979045,0.9653751519283787
DE_rand_2,0.9299943084803642,0.9316239316239316,0.9672131147540983,0.953810623556582,0.9536803723356949
DE_rand_2,0.9288560045532157,0.9401709401709402,0.9601873536299765,0.9590643274853801,0.9669907805413097
DE_rand_2,0.930550284629981,0.9232081911262798,0.9531615925058547,0.9476135040745053,0.9627354808301298
DE_rand_2,0.9311195445920304,0.9232081911262798,0.9578454332552693,0.947856315179606,0.9563577983002666
DE_rand_2,0.930360531309298,0.9334470989761092,0.955503512880562,0.9543859649122807,0.9654308986198872
DE_rand_2,0.92865275142315,0.9402730375426621,0.9602803738317757,0.9591598599766628,0.9657961670412871
DE_rand_2,0.932258064516129,0.9215017064846417,0.955607476635514,0.9467592592592593,0.9445315272684255
DE_rand_2,0.9297912713472486,0.9180887372013652,0.9415887850467289,0.9437939110070258,0.9620992547024726
DE_rand_2,0.9298045911591728,0.9333333333333333,0.9718969555035128,0.9551208285385501,0.9548068656804909
DE_rand_2,0.92942515651679,0.9316239316239316,0.9531615925058547,0.9531615925058547,0.9612100910088044
DE_rand_2,0.9305634604439386,0.9418803418803419,0.9718969555035128,0.9606481481481481,0.9625440962855365
DE_rand_2,0.9313223297287042,0.9299145299145299,0.9648711943793911,0.9526011560693641,0.9640411466516468
DE_best_2,0.9333965844402277,0.9283276450511946,0.9765807962529274,0.952054794520548,0.9497297217680762
DE_best_2,0.9328273244781784,0.9334470989761092,0.9695550351288056,0.9550173010380623,0.9579190785500715
DE_best_2,0.9352941176470588,0.909556313993174,0.9461358313817331,0.9384436701509872,0.937887558363896
DE_best_2,0.9330170777988614,0.9283276450511946,0.9462616822429907,0.9507042253521126,0.9551786348042117
DE_best_2,0.9275142314990512,0.9675767918088737,0.9813084112149533,0.9778812572759022,0.9811309594226901
DE_best_2,0.9309297912713472,0.9351535836177475,0.9602803738317757,0.9558139534883721,0.9607979415592098
DE_best_2,0.9322709163346613,0.9367521367521368,0.9648711943793911,0.9570267131242741,0.9715115762013458
DE_best_2,0.9315120470498957,0.9435897435897436,0.9742388758782201,0.9618497109826589,0.9671538256306881
DE_best_2,0.9339783722253842,0.9145299145299145,0.9461358313817331,0.9417249417249417,0.9518127649482703
DE_best_2,0.9328400682982356,0.9247863247863248,0.9461358313817331,0.9483568075117371,0.9617585154003498
DE_best_2,0.9324478178368122,0.9249146757679181,0.955503512880562,0.9488372093023256,0.9636928696625573
DE_best_2,0.9352941176470588,0.9112627986348123,0.9297423887587822,0.9385342789598109,0.9602462698658183
DE_best_2,0.9309297912713472,0.9522184300341296,0.9718969555035128,0.9673659673659674,0.9694519317160827
DE_best_2,0.9330170777988614,0.9334470989761092,0.9766355140186916,0.9554285714285714,0.9436442683071099
DE_best_2,0.9332068311195446,0.9283276450511946,0.9649532710280374,0.9516129032258065,0.9502691352182657
DE_best_2,0.9309297912713472,0.9351535836177475,0.9602803738317757,0.9558139534883721,0.9766059387199811
DE_best_2,0.93340922026181,0.9316239316239316,0.9672131147540983,0.953810623556582,0.9470103459520351
DE_best_2,0.93208119901347,0.9384615384615385,0.9625292740046838,0.958041958041958,0.9681172738861057
DE_best_2,0.9326503509770442,0.9282051282051282,0.9625292740046838,0.9513888888888888,0.9528503246079506
DE_best_2,0.9305634604439386,0.9367521367521368,0.9578454332552693,0.9567251461988304,0.9649749503453592
DE_best_2,0.932068311195446,0.9232081911262798,0.955503512880562,0.9477351916376306,0.9616749885849794
DE_best_2,0.9337760910815939,0.9249146757679181,0.9625292740046838,0.9491916859122402,0.9565345470077916
DE_best_2,0.932258064516129,0.9402730375426621,0.9648711943793911,0.959254947613504,0.9645766132001826
DE_best_2,0.9313092979127134,0.9436860068259386,0.9626168224299065,0.9614935822637106,0.9653081746125637
DE_best_2,0.9343453510436432,0.9266211604095563,0.9602803738317757,0.9502890173410404,0.9436590559564652
DE_best_2,0.932068311195446,0.9266211604095563,0.9509345794392523,0.9498249708284714,0.9599402578966048
DE_best_2,0.9318914816922785,0.935042735042735,0.9718969555035128,0.956221198156682,0.9547031097145228
DE_best_2,0.9315120470498957,0.9333333333333333,0.955503512880562,0.9543859649122807,0.9616547594343817
DE_best_2,0.9303737431227471,0.9401709401709402,0.9695550351288056,0.9594438006952491,0.9638039901580056
DE_best_2,0.934357806867767,0.9282051282051282,0.9648711943793911,0.9515011547344111,0.9628701864642932
